Month,Variety,Avg Price,Unit Price,Low Price,High Price,Package
9,HOWDEN TYPE,160.0,6.666666666666667,160.0,160.0,24 inch bins
9,HOWDEN TYPE,160.0,6.666666666666667,160.0,160.0,24 inch bins
11,HOWDEN TYPE,95.0,3.9583333333333335,90.0,100.0,24 inch bins
11,HOWDEN TYPE,95.0,3.9583333333333335,90.0,100.0,24 inch bins
9,HOWDEN TYPE,165.0,4.583333333333333,160.0,170.0,36 inch bins
9,HOWDEN TYPE,160.0,4.444444444444445,160.0,160.0,36 inch bins
10,HOWDEN TYPE,165.0,4.583333333333333,160.0,170.0,36 inch bins
10,HOWDEN TYPE,160.0,4.444444444444445,160.0,160.0,36 inch bins
10,HOWDEN TYPE,165.0,4.583333333333333,160.0,170.0,36 inch bins
10,HOWDEN TYPE,160.0,4.444444444444445,160.0,160.0,36 inch bins
10,HOWDEN TYPE,155.0,4.305555555555555,150.0,160.0,36 inch bins
10,HOWDEN TYPE,160.0,4.444444444444445,150.0,170.0,36 inch bins
10,HOWDEN TYPE,155.0,4.305555555555555,150.0,160.0,36 inch bins
10,HOWDEN TYPE,150.0,4.166666666666667,140.0,160.0,36 inch bins
10,HOWDEN TYPE,130.0,3.611111111111111,100.0,160.0,36 inch bins
10,HOWDEN TYPE,145.0,4.027777777777778,130.0,160.0,36 inch bins
10,HOWDEN TYPE,130.0,3.611111111111111,130.0,130.0,36 inch bins
11,HOWDEN TYPE,125.0,3.4722222222222223,120.0,130.0,36 inch bins
11,HOWDEN TYPE,115.0,3.1944444444444446,100.0,130.0,36 inch bins
11,HOWDEN TYPE,95.0,2.638888888888889,90.0,100.0,36 inch bins
11,HOWDEN TYPE,110.0,3.0555555555555554,100.0,120.0,36 inch bins
9,HOWDEN TYPE,160.0,4.444444444444445,160.0,160.0,36 inch bins
9,HOWDEN TYPE,160.0,4.444444444444445,160.0,160.0,36 inch bins
9,HOWDEN TYPE,155.0,4.305555555555555,150.0,160.0,36 inch bins
9,HOWDEN TYPE,155.0,4.305555555555555,150.0,160.0,36 inch bins
9,HOWDEN WHITE TYPE,170.0,7.083333333333333,160.0,180.0,24 inch bins
9,HOWDEN WHITE TYPE,180.0,7.5,180.0,180.0,24 inch bins
6,CINDERELLA,380.0,15.833333333333334,380.0,380.0,24 inch bins
6,CINDERELLA,380.0,15.833333333333334,380.0,380.0,24 inch bins
